,precision,recall,f1-score,support
Belt_Harsh,0.9820359281437125,0.9647058823529412,0.973293768545994,170.0
Breathy,0.9873417721518988,0.9512195121951219,0.968944099378882,82.0
Fast_Articulated_Forte,0.9823321554770318,0.9328859060402684,0.9569707401032702,298.0
Fast_Articulated_Piano,1.0,0.8647798742138365,0.927487352445194,318.0
FullVoice,1.0,1.0,1.0,85.0
Lip_Trill,1.0,1.0,1.0,145.0
MessaDiVoce,1.0,1.0,1.0,89.0
MoltoVibrato,0.9596774193548387,0.967479674796748,0.9635627530364372,123.0
Slow_Legato_Forte,0.8080808080808081,0.9090909090909091,0.8556149732620321,88.0
Slow_Legato_Piano,0.958904109589041,0.9915014164305949,0.9749303621169917,353.0
Slow_MoltoVibrato,0.8795180722891566,0.9240506329113924,0.9012345679012346,79.0
Slow_StraightTone,0.9333333333333333,0.9882352941176471,0.96,85.0
StraightTone,0.9781659388646288,0.9955555555555555,0.986784140969163,225.0
Trill,1.0,0.95,0.9743589743589743,80.0
Trillo,0.8217821782178217,1.0,0.9021739130434783,83.0
VeryBreathy,0.84375,0.9759036144578314,0.9050279329608939,83.0
accuracy,0.9572506286672254,0.9572506286672254,0.9572506286672254,0.9572506286672254
macro avg,0.9459326072188919,0.9634630170101779,0.9531489736326592,2386.0
weighted avg,0.9607835154612437,0.9572506286672254,0.9575711665035257,2386.0
