,Belt_Harsh,Breathy,Fast_Articulated_Forte,Fast_Articulated_Piano,FullVoice,Lip_Trill,MessaDiVoce,MoltoVibrato,Slow_Legato_Forte,Slow_Legato_Piano,Slow_MoltoVibrato,Slow_StraightTone,StraightTone,Trill,Trillo,VeryBreathy
Belt_Harsh,164,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1
Breathy,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Fast_Articulated_Forte,3,0,278,0,0,0,0,0,8,0,2,0,0,0,7,0
Fast_Articulated_Piano,0,0,5,275,0,0,0,0,2,13,3,4,0,0,7,9
FullVoice,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0
Lip_Trill,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0
MessaDiVoce,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0
MoltoVibrato,0,0,0,0,0,0,0,119,3,1,0,0,0,0,0,0
Slow_Legato_Forte,0,0,0,0,0,0,0,4,80,0,4,0,0,0,0,0
Slow_Legato_Piano,0,0,0,0,0,0,0,1,0,350,1,1,0,0,0,0
Slow_MoltoVibrato,0,0,0,0,0,0,0,0,6,0,73,0,0,0,0,0
Slow_StraightTone,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,1
StraightTone,0,0,0,0,0,0,0,0,0,1,0,0,224,0,0,0
Trill,0,0,0,0,0,0,0,0,0,0,0,0,0,76,4,0
Trillo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0
VeryBreathy,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,81
