,precision,recall,f1-score,support
Belt_Harsh,0.9714285714285714,1.0,0.9855072463768116,170.0
Breathy,0.975609756097561,0.975609756097561,0.975609756097561,82.0
Fast_Articulated_Forte,0.9925925925925926,0.8993288590604027,0.9436619718309859,298.0
Fast_Articulated_Piano,1.0,0.9213836477987422,0.9590834697217676,318.0
FullVoice,1.0,1.0,1.0,85.0
Lip_Trill,1.0,1.0,1.0,145.0
MessaDiVoce,1.0,1.0,1.0,89.0
MoltoVibrato,1.0,0.991869918699187,0.9959183673469387,123.0
Slow_Legato_Forte,0.9148936170212766,0.9772727272727273,0.945054945054945,88.0
Slow_Legato_Piano,0.9618528610354223,1.0,0.9805555555555555,353.0
Slow_MoltoVibrato,0.9080459770114943,1.0,0.9518072289156626,79.0
Slow_StraightTone,1.0,0.9882352941176471,0.9940828402366864,85.0
StraightTone,1.0,0.9955555555555555,0.9977728285077951,225.0
Trill,1.0,1.0,1.0,80.0
Trillo,0.8383838383838383,1.0,0.9120879120879121,83.0
VeryBreathy,0.9222222222222223,1.0,0.9595375722543352,83.0
accuracy,0.9740150880134115,0.9740150880134115,0.9740150880134115,0.9740150880134115
macro avg,0.9678143397370611,0.9843284849126139,0.9750424808741849,2386.0
weighted avg,0.9760461371303594,0.9740150880134115,0.9740438233193419,2386.0
