,Belt_Harsh,Breathy,Fast_Articulated_Forte,Fast_Articulated_Piano,FullVoice,Lip_Trill,MessaDiVoce,MoltoVibrato,Slow_Legato_Forte,Slow_Legato_Piano,Slow_MoltoVibrato,Slow_StraightTone,StraightTone,Trill,Trillo,VeryBreathy
Belt_Harsh,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breathy,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Fast_Articulated_Forte,5,0,268,0,0,0,0,0,6,0,5,0,0,0,14,0
Fast_Articulated_Piano,0,2,2,293,0,0,0,0,1,13,1,0,0,0,2,4
FullVoice,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0
Lip_Trill,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0
MessaDiVoce,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0
MoltoVibrato,0,0,0,0,0,0,0,122,1,0,0,0,0,0,0,0
Slow_Legato_Forte,0,0,0,0,0,0,0,0,86,0,2,0,0,0,0,0
Slow_Legato_Piano,0,0,0,0,0,0,0,0,0,353,0,0,0,0,0,0
Slow_MoltoVibrato,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0
Slow_StraightTone,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,1
StraightTone,0,0,0,0,0,0,0,0,0,1,0,0,224,0,0,0
Trill,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0
Trillo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0
VeryBreathy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
