,precision,recall,f1-score,support
Belt_Harsh,0.9825581395348837,0.9941176470588236,0.9883040935672515,170.0
Breathy,0.4857142857142857,0.2073170731707317,0.2905982905982906,82.0
Fast_Articulated_Forte,0.9923076923076923,0.8657718120805369,0.9247311827956989,298.0
Fast_Articulated_Piano,0.9421221864951769,0.9213836477987422,0.931637519872814,318.0
FullVoice,0.9285714285714286,0.9176470588235294,0.9230769230769231,85.0
Lip_Trill,1.0,1.0,1.0,145.0
MessaDiVoce,1.0,1.0,1.0,89.0
MoltoVibrato,0.8983050847457628,0.8617886178861789,0.8796680497925311,123.0
Slow_Legato_Forte,0.7027027027027027,0.5909090909090909,0.6419753086419753,88.0
Slow_Legato_Piano,0.9119170984455959,0.9971671388101983,0.952638700947226,353.0
Slow_MoltoVibrato,0.8292682926829268,0.8607594936708861,0.84472049689441,79.0
Slow_StraightTone,0.9253731343283582,0.7294117647058823,0.8157894736842105,85.0
StraightTone,0.921161825726141,0.9866666666666667,0.9527896995708155,225.0
Trill,0.9342105263157895,0.8875,0.9102564102564102,80.0
Trillo,0.8556701030927835,1.0,0.9222222222222223,83.0
VeryBreathy,0.5570469798657718,1.0,0.7155172413793104,83.0
accuracy,0.9002514668901928,0.9002514668901928,0.9002514668901928,0.9002514668901928
macro avg,0.8666830925330812,0.8637775007238292,0.8558703508312555,2386.0
weighted avg,0.9022436527758425,0.9002514668901928,0.8953532992161525,2386.0
