,precision,recall,f1-score,support
Belt_Harsh,0.6685393258426966,0.7,0.6839080459770115,170.0
Breathy,0.6031746031746031,0.4634146341463415,0.5241379310344828,82.0
Fast_Articulated_Forte,0.8363636363636363,0.15436241610738255,0.26062322946175637,298.0
Fast_Articulated_Piano,0.5490196078431373,0.5283018867924528,0.5384615384615384,318.0
FullVoice,0.7222222222222222,0.4588235294117647,0.5611510791366906,85.0
Lip_Trill,0.9333333333333333,0.9655172413793104,0.9491525423728814,145.0
MessaDiVoce,0.9222222222222223,0.9325842696629213,0.9273743016759777,89.0
MoltoVibrato,0.6373626373626373,0.4715447154471545,0.5420560747663551,123.0
Slow_Legato_Forte,0.5,0.23863636363636365,0.3230769230769231,88.0
Slow_Legato_Piano,0.5126475548060708,0.8611898016997167,0.642706131078224,353.0
Slow_MoltoVibrato,0.40350877192982454,0.2911392405063291,0.3382352941176471,79.0
Slow_StraightTone,0.4520547945205479,0.38823529411764707,0.4177215189873418,85.0
StraightTone,0.570281124497992,0.6311111111111111,0.5991561181434599,225.0
Trill,0.746031746031746,0.5875,0.6573426573426573,80.0
Trillo,0.40236686390532544,0.8192771084337349,0.5396825396825397,83.0
VeryBreathy,0.28104575163398693,0.5180722891566265,0.3644067796610169,83.0
accuracy,0.5750209555741828,0.5750209555741828,0.5750209555741828,0.5750209555741828
macro avg,0.6087608872306238,0.5631068688505535,0.5543245440610315,2386.0
weighted avg,0.6220107641773923,0.5750209555741828,0.5543353913299284,2386.0
