,precision,recall,f1-score,support
Belt_Harsh,0.9392265193370166,1.0,0.9686609686609686,170.0
Breathy,0.7383177570093458,0.9634146341463414,0.8359788359788359,82.0
Fast_Articulated_Forte,0.9612676056338029,0.9161073825503355,0.9381443298969072,298.0
Fast_Articulated_Piano,0.9925650557620818,0.839622641509434,0.909710391822828,318.0
FullVoice,0.9875,0.9294117647058824,0.9575757575757575,85.0
Lip_Trill,0.9931506849315068,1.0,0.9965635738831615,145.0
MessaDiVoce,1.0,0.9775280898876404,0.9886363636363636,89.0
MoltoVibrato,0.9711538461538461,0.8211382113821138,0.8898678414096917,123.0
Slow_Legato_Forte,0.7476635514018691,0.9090909090909091,0.8205128205128205,88.0
Slow_Legato_Piano,0.9371428571428572,0.9291784702549575,0.9331436699857752,353.0
Slow_MoltoVibrato,0.9714285714285714,0.8607594936708861,0.912751677852349,79.0
Slow_StraightTone,0.8095238095238095,1.0,0.8947368421052632,85.0
StraightTone,0.8643410852713178,0.9911111111111112,0.9233954451345756,225.0
Trill,0.975,0.975,0.975,80.0
Trillo,0.9425287356321839,0.9879518072289156,0.9647058823529412,83.0
VeryBreathy,0.9014084507042254,0.7710843373493976,0.8311688311688312,83.0
accuracy,0.9258172673931265,0.9258172673931265,0.9258172673931265,0.9258172673931265
macro avg,0.9207636581207772,0.9294624283054953,0.9212845769985669,2386.0
weighted avg,0.9331022647378073,0.9258172673931265,0.9262372241460894,2386.0
