,precision,recall,f1-score,support
Belt_Harsh,0.0949367088607595,0.17647058823529413,0.12345679012345678,170.0
Breathy,0.0,0.0,0.0,82.0
Fast_Articulated_Forte,0.0,0.0,0.0,298.0
Fast_Articulated_Piano,0.10229276895943562,0.18238993710691823,0.1310734463276836,318.0
FullVoice,0.047505938242280284,0.23529411764705882,0.07905138339920949,85.0
Lip_Trill,0.0,0.0,0.0,145.0
MessaDiVoce,0.0,0.0,0.0,89.0
MoltoVibrato,0.0,0.0,0.0,123.0
Slow_Legato_Forte,0.0,0.0,0.0,88.0
Slow_Legato_Piano,0.0,0.0,0.0,353.0
Slow_MoltoVibrato,0.0,0.0,0.0,79.0
Slow_StraightTone,0.0,0.0,0.0,85.0
StraightTone,0.05592105263157895,0.1511111111111111,0.08163265306122448,225.0
Trill,0.0,0.0,0.0,80.0
Trillo,0.013297872340425532,0.060240963855421686,0.02178649237472767,83.0
VeryBreathy,0.0,0.0,0.0,83.0
accuracy,0.06160938809723386,0.06160938809723386,0.06160938809723386,0.06160938809723386
macro avg,0.019622146314654993,0.05034416987223775,0.027312547830393875,2386.0
weighted avg,0.027825777884486192,0.06160938809723386,0.03753730245096469,2386.0
