,precision,recall,f1-score,support
Belt_Harsh,0.5284280936454849,0.9294117647058824,0.673773987206823,170.0
Breathy,0.58,0.35365853658536583,0.4393939393939394,82.0
Fast_Articulated_Forte,0.7737556561085973,0.5738255033557047,0.6589595375722543,298.0
Fast_Articulated_Piano,0.9166666666666666,0.3113207547169811,0.4647887323943662,318.0
FullVoice,0.5675675675675675,0.49411764705882355,0.5283018867924528,85.0
Lip_Trill,0.9797297297297297,1.0,0.9897610921501706,145.0
MessaDiVoce,0.5785714285714286,0.9101123595505618,0.7074235807860262,89.0
MoltoVibrato,0.38596491228070173,0.5365853658536586,0.4489795918367347,123.0
Slow_Legato_Forte,0.20481927710843373,0.19318181818181818,0.19883040935672514,88.0
Slow_Legato_Piano,0.6584615384615384,0.6062322946175638,0.6312684365781711,353.0
Slow_MoltoVibrato,0.30357142857142855,0.21518987341772153,0.2518518518518518,79.0
Slow_StraightTone,0.39285714285714285,0.38823529411764707,0.3905325443786982,85.0
StraightTone,0.3969957081545064,0.8222222222222222,0.5354558610709117,225.0
Trill,0.5,0.3125,0.38461538461538464,80.0
Trillo,0.7580645161290323,0.5662650602409639,0.6482758620689655,83.0
VeryBreathy,0.5102040816326531,0.30120481927710846,0.3787878787878788,83.0
accuracy,0.567476948868399,0.567476948868399,0.567476948868399,0.567476948868399
macro avg,0.564728609217807,0.5321289571188764,0.5206875360525847,2386.0
weighted avg,0.6249660118436634,0.567476948868399,0.5579506847794161,2386.0
