,precision,recall,f1-score,support
Belt_Harsh,0.783410138248848,1.0,0.8785529715762274,170.0
Breathy,0.9166666666666666,0.8048780487804879,0.8571428571428571,82.0
Fast_Articulated_Forte,0.8614864864864865,0.8557046979865772,0.8585858585858586,298.0
Fast_Articulated_Piano,0.9957081545064378,0.7295597484276729,0.8421052631578947,318.0
FullVoice,0.9545454545454546,0.9882352941176471,0.9710982658959537,85.0
Lip_Trill,0.9931506849315068,1.0,0.9965635738831615,145.0
MessaDiVoce,0.967391304347826,1.0,0.9834254143646409,89.0
MoltoVibrato,0.7483443708609272,0.9186991869918699,0.8248175182481752,123.0
Slow_Legato_Forte,0.7068965517241379,0.4659090909090909,0.5616438356164384,88.0
Slow_Legato_Piano,0.9184210526315789,0.9886685552407932,0.9522510231923602,353.0
Slow_MoltoVibrato,0.7375,0.7468354430379747,0.7421383647798742,79.0
Slow_StraightTone,0.9436619718309859,0.788235294117647,0.8589743589743589,85.0
StraightTone,0.902834008097166,0.9911111111111112,0.9449152542372882,225.0
Trill,0.9615384615384616,0.9375,0.9493670886075949,80.0
Trillo,0.9540229885057471,1.0,0.9764705882352941,83.0
VeryBreathy,0.8666666666666667,0.9397590361445783,0.9017341040462428,83.0
accuracy,0.8922883487007544,0.8922883487007544,0.8922883487007544,0.8922883487007544
macro avg,0.8882653100993061,0.8846934691790906,0.8812366462840138,2386.0
weighted avg,0.8973399911105737,0.8922883487007544,0.8889218672408248,2386.0
