,Belt_Harsh,Breathy,Fast_Articulated_Forte,Fast_Articulated_Piano,FullVoice,Lip_Trill,MessaDiVoce,MoltoVibrato,Slow_Legato_Forte,Slow_Legato_Piano,Slow_MoltoVibrato,Slow_StraightTone,StraightTone,Trill,Trillo,VeryBreathy
Belt_Harsh,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breathy,0,66,0,0,0,0,0,0,0,2,0,2,0,0,0,12
Fast_Articulated_Forte,28,1,255,1,0,0,0,2,2,0,4,0,0,3,2,0
Fast_Articulated_Piano,1,0,41,232,0,0,1,2,0,28,10,0,1,0,2,0
FullVoice,0,0,0,0,84,0,0,0,0,0,0,0,1,0,0,0
Lip_Trill,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0
MessaDiVoce,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0
MoltoVibrato,5,0,0,0,0,0,1,113,2,1,0,0,1,0,0,0
Slow_Legato_Forte,9,0,0,0,0,0,0,29,41,0,7,2,0,0,0,0
Slow_Legato_Piano,0,0,0,0,0,1,0,0,0,349,0,0,3,0,0,0
Slow_MoltoVibrato,2,0,0,0,0,0,0,5,13,0,59,0,0,0,0,0
Slow_StraightTone,0,0,0,0,0,0,0,0,0,0,0,67,18,0,0,0
StraightTone,2,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0
Trill,0,0,0,0,4,0,1,0,0,0,0,0,0,75,0,0
Trillo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0
VeryBreathy,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,78
