,precision,recall,f1-score,support
Belt_Harsh,0.5224358974358975,0.9588235294117647,0.6763485477178424,170.0
Breathy,0.625,0.24390243902439024,0.3508771929824561,82.0
Fast_Articulated_Forte,0.784037558685446,0.5604026845637584,0.6536203522504892,298.0
Fast_Articulated_Piano,0.8914728682170543,0.36163522012578614,0.5145413870246085,318.0
FullVoice,0.525,0.49411764705882355,0.509090909090909,85.0
Lip_Trill,1.0,0.9103448275862069,0.9530685920577617,145.0
MessaDiVoce,0.5942028985507246,0.9213483146067416,0.7224669603524229,89.0
MoltoVibrato,0.6666666666666666,0.3902439024390244,0.49230769230769234,123.0
Slow_Legato_Forte,0.4098360655737705,0.2840909090909091,0.33557046979865773,88.0
Slow_Legato_Piano,0.6458333333333334,0.7025495750708215,0.6729986431478969,353.0
Slow_MoltoVibrato,0.2537313432835821,0.21518987341772153,0.2328767123287671,79.0
Slow_StraightTone,0.3155080213903743,0.6941176470588235,0.4338235294117647,85.0
StraightTone,0.4205607476635514,0.8,0.5513016845329249,225.0
Trill,0.6666666666666666,0.325,0.4369747899159664,80.0
Trillo,0.8133333333333334,0.7349397590361446,0.7721518987341772,83.0
VeryBreathy,0.4594594594594595,0.20481927710843373,0.2833333333333333,83.0
accuracy,0.5875943000838223,0.5875943000838223,0.5875943000838223,0.5875943000838223
macro avg,0.5996090537662413,0.5500953503499594,0.5369595434367294,2386.0
weighted avg,0.6480359291075359,0.5875943000838223,0.5773061218984205,2386.0
