,precision,recall,f1-score,support
Belt_Harsh,0.6902173913043478,0.7470588235294118,0.7175141242937854,170.0
Breathy,0.40540540540540543,0.18292682926829268,0.25210084033613445,82.0
Fast_Articulated_Forte,0.7386018237082067,0.8154362416107382,0.7751196172248804,298.0
Fast_Articulated_Piano,0.7835051546391752,0.7169811320754716,0.7487684729064039,318.0
FullVoice,0.6833333333333333,0.4823529411764706,0.5655172413793104,85.0
Lip_Trill,1.0,1.0,1.0,145.0
MessaDiVoce,0.7659574468085106,0.8089887640449438,0.7868852459016393,89.0
MoltoVibrato,0.5808823529411765,0.6422764227642277,0.61003861003861,123.0
Slow_Legato_Forte,0.40540540540540543,0.17045454545454544,0.24,88.0
Slow_Legato_Piano,0.6739606126914661,0.8725212464589235,0.7604938271604939,353.0
Slow_MoltoVibrato,0.5348837209302325,0.2911392405063291,0.3770491803278688,79.0
Slow_StraightTone,0.6585365853658537,0.3176470588235294,0.42857142857142855,85.0
StraightTone,0.5844155844155844,0.8,0.6754221388367729,225.0
Trill,0.5862068965517241,0.425,0.4927536231884058,80.0
Trillo,0.8470588235294118,0.8674698795180723,0.8571428571428571,83.0
VeryBreathy,0.6049382716049383,0.5903614457831325,0.5975609756097561,83.0
accuracy,0.6948868398994132,0.6948868398994132,0.6948868398994132,0.6948868398994132
macro avg,0.6589568005396732,0.6081634106883806,0.6178086364323967,2386.0
weighted avg,0.6845185543568676,0.6948868398994132,0.6780388343109532,2386.0
