,Belt_Harsh,Breathy,Fast_Articulated_Forte,Fast_Articulated_Piano,FullVoice,Lip_Trill,MessaDiVoce,MoltoVibrato,Slow_Legato_Forte,Slow_Legato_Piano,Slow_MoltoVibrato,Slow_StraightTone,StraightTone,Trill,Trillo,VeryBreathy
Belt_Harsh,127,0,4,2,0,0,0,2,1,8,3,1,21,0,0,1
Breathy,3,15,0,7,0,0,0,0,0,21,0,2,15,0,0,19
Fast_Articulated_Forte,4,0,243,48,0,0,0,0,0,0,1,0,1,0,1,0
Fast_Articulated_Piano,0,0,78,228,0,0,0,0,0,10,0,0,0,0,1,1
FullVoice,5,0,0,0,41,0,2,2,3,6,0,0,10,14,2,0
Lip_Trill,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0
MessaDiVoce,0,0,0,0,0,0,72,5,0,2,0,0,8,2,0,0
MoltoVibrato,1,0,0,0,1,0,0,79,7,26,6,0,3,0,0,0
Slow_Legato_Forte,10,0,2,1,0,0,0,23,15,25,6,0,5,1,0,0
Slow_Legato_Piano,4,6,0,1,0,0,2,9,3,308,1,3,11,0,0,5
Slow_MoltoVibrato,3,0,1,1,0,0,0,12,7,31,23,0,0,1,0,0
Slow_StraightTone,8,3,0,0,0,0,0,0,0,0,0,27,42,0,0,5
StraightTone,19,7,0,0,1,0,2,3,1,7,0,2,180,0,2,1
Trill,0,0,0,0,17,0,13,1,0,3,3,0,2,34,7,0
Trillo,0,0,1,0,0,0,3,0,0,0,0,0,1,6,72,0
VeryBreathy,0,6,0,3,0,0,0,0,0,10,0,6,9,0,0,49
