,Belt_Harsh,Breathy,Fast_Articulated_Forte,Fast_Articulated_Piano,FullVoice,Lip_Trill,MessaDiVoce,MoltoVibrato,Slow_Legato_Forte,Slow_Legato_Piano,Slow_MoltoVibrato,Slow_StraightTone,StraightTone,Trill,Trillo,VeryBreathy
Belt_Harsh,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breathy,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fast_Articulated_Forte,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0
Fast_Articulated_Piano,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0
FullVoice,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0
Lip_Trill,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0
MessaDiVoce,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0
MoltoVibrato,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0
Slow_Legato_Forte,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0
Slow_Legato_Piano,0,0,0,0,0,0,0,0,0,353,0,0,0,0,0,0
Slow_MoltoVibrato,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0
Slow_StraightTone,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0
StraightTone,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0
Trill,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0
Trillo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0
VeryBreathy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
